Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cote d'Ivoire,CIV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096943602,0.399661015,0.199004268,0.051158389,0.096873982,0.114390556,0.213393329,0.145442935,0.423394052,0.571486371,0.856440936,0.710010701,0.649782456,0.317711121,0.479859365,0.859139328,0.816862097,1.139037305,,,,0.251742616,0.268486134,,
Cameroon,CMR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,1.068838734,1.346584203,0.318209489,0.160083356,0.141164953,0.123228873,0.148815956,0.288673229,0.242269375,0.255437014,0.225733206,0.721221733,1.417943134,1.365945506,3.222549372,1.299516069,2.631920539,2.239901152,3.313149198,1.601781243,1.180474709,0.798365459,1.052622844,0.851392322,1.776033034,6.558163052,9.652570837,8.363297649,7.436590246,8.538621692,7.922263921,7.745959158,8.687269874,5.34141237,4.515780339,3.947813018,5.011258917,4.445929997,4.088117355,4.304487748,3.70167114,,
Comoros,COM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114788176,0.206927059,0.135940509,0.115683413,0.136746284,0.236476138,1.46139568,,,,0.665247761,0.201927989,0.109277934,0.272192513,0.26665724,0.176808165,0.101932906,0.109802233,0.086126634,0.07113873,0.129735877,0.233887734,0.091882061,0.061107598,0.091496396,0.074062605,0.056816708,0.048529055,,
Caribbean small states,CSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037616466,0.129862045,0.030528033,0.044374746,0.024056729,0.060677392,0.059193599,,,0.010619844,,,0.17720947,0.059576937,0.023020156,,
Cyprus,CYP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426384811,1.187766181,2.986972918,4.579541899,4.215622569,6.833116661,61.05025699,95.54825346,30.28304641,5.849270319,2.1330382,1.528242243,2.564907782,15.67545205,18.62715989,6.444314592,6.788411658,2.877913623,1.625089659,1.176208352,0.172038818,0.24373639,0.657482701,0.352701761,0.301251661,0.21784659,0.215916672,0.155828476,,
Czechia,CZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581153749,3.191845172,4.563703934,9.392820363,9.186784046,7.073592175,6.035916381,10.75647706,5.085041042,7.205028409,8.76046462,15.03148186,25.03966361,18.41659701,19.86945668,13.63107677,12.84117449,10.55962416,8.977066833,8.395667662,5.795859066,5.147621328,,,,,,1.719242845,,
