Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Caribbean small states,CSS,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.297327439,5.498139027,5.305200941,4.615317914,2.296959886,1.400394765,2.404155486,2.872701653,2.53767167,,,,,,,,,4.01267199,,,,,6.3005,3.6383,3.608751256,4.065142834,0.356489703,,
Cuba,CUB,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.515151515,0.880503145,1.124260355,0.420168067,0.111604201,0.126600575,,,0.1584,,,2.2382,0.9339,0.201763099,,
Cyprus,CYP,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4733018,25.88036844,22.4638924,17.15164375,10.86431676,15.74306422,14.76186897,1.958445976,1.404366162,4.861833309,3.219567908,2.449243673,1.682903756,1.3074,0.830357371,,
Czechia,CZE,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.64315257,25.10313769,29.88208808,44.42473031,52.80883711,45.3051974,37.17108589,68.23230893,42.30745635,57.74226164,56.54205999,66.97288646,98.43443335,64.85726513,54.83500328,78.90209191,,,,,,,,,,,14.5577,15.88999609,,
Germany,DEU,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,20.41828152,19.78464709,20.23313574,22.46818859,18.66657582,19.72867297,21.89309686,21.45704006,37.27095318,34.3348071,48.01805077,58.92281527,194.2691795,137.6510043,95.3112512,152.6781118,118.069419,130.8470633,119.8961399,120.9360932,100.4781963,22.53511298,119.7506352,134.2223996,91.36459353,143.8493765,121.3950372,127.075814,94.27764426,98.89347558,107.1482852,119.1271715,154.6095416,377.2479782,138.3361361,104.5419959,132.8496494,84.09694982,67.79647621,72.99616265,84.19470087,74.92751839,63.57764984,92.07924324,64.3574,79.42217368,,
Djibouti,DJI,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,1.317076383,1.354155382,1.025106747,1.20751542,1.211816414,0.984288547,0.922307762,1.006614587,1.591645354,2.100921179,9.972754968,11.84136862,10.54825561,18.59956383,34.80059278,30.4487424,22.40663057,46.80024131,50.15441965,54.8766864,46.6124079,47.56525116,46.77386262,67.89698518,57.01473917,80.40681768,77.54497889,42.35562875,36.07122963,45.05459436,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,8.81974634,13.21623592,11.14600709,9.932172528,7.863413728,20.87914195,10.85707024,16.64177762,40.49622285,30.36305228,61.9421995,29.86438458,28.83878636,33.7045785,12.69383538,58.35794694,38.50800275,39.65196521,47.67831922,31.67404486,35.89735067,43.31678865,85.92329217,68.56818694,75.85782297,121.3833149,192.3553437,184.6805035,169.61019,156.1800197,107.0389236,152.4132287,160.820153,402.8059663,216.4000643,168.3907437,173.5931811,178.3087981,225.7360305,,
Early-demographic dividend,EAR,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,4.3766514,3.725868558,4.892722059,14.73498807,17.20514929,13.32605618,7.651881503,16.1910369,6.207625417,9.52571036,10.11865438,15.3270356,11.47246464,12.56717539,15.99171429,15.09723932,21.31715758,27.33001887,50.2872965,29.96998034,29.5647537,38.68959558,46.53491724,33.00953031,63.46771857,72.84642149,57.73466165,47.76066753,50.75034493,53.0123045,51.98575312,47.84614624,93.25494333,53.48088818,47.33577404,49.86264295,44.2007982,43.93152791,44.81117081,45.50521878,43.66241711,38.2464687,46.60480031,35.69318014,47.11056325,,
East Asia & Pacific,EAS,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,48.32502854,430.6435726,400.233282,52.34027399,38.51283148,53.47298637,37.32933601,45.59147797,46.00722087,45.29388353,59.5648883,71.15938383,64.51871346,60.01259907,78.75022077,43.9823867,38.71122586,42.10525246,49.16700702,42.78369484,46.05442003,88.25494086,71.00853671,65.34872411,97.62669861,78.37416695,94.637748,79.79613094,92.2938006,89.06515737,100.6962016,127.1098205,178.8466499,128.120884,118.8394169,126.0099061,86.86131032,107.2937576,107.8485255,221.9084347,138.1865194,112.1062836,126.896378,109.3930977,149.2505807,,
Europe & Central Asia (excluding high income),ECA,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1876389,244.3945901,119.6003215,71.50704403,169.9191484,60.22709036,237.7825948,135.6460524,187.0135136,136.227787,137.9834749,112.0860826,111.2522874,89.11002712,142.9184186,107.6025863,69.6907859,90.30139822,58.57875801,67.97138208,72.79693603,79.68301771,59.93481894,54.98518314,74.9148844,52.75401208,105.1886128,,
Europe & Central Asia,ECS,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,36.34900928,28.28529459,28.03561666,49.27483702,51.26250044,39.12013652,17.98274517,46.97369739,44.68445468,46.24572609,40.63201864,103.6729479,68.55146585,59.45342517,71.58823281,45.12096115,47.5094089,50.39932742,59.05362174,53.86912784,43.24804036,62.3845454,98.89697669,69.05008934,103.8530263,108.4970783,88.31601761,72.37944836,71.66758353,72.09472173,80.99338927,116.1828489,191.9574985,91.67726996,91.13413987,98.2179866,69.47613823,54.89227144,75.27673426,73.60440473,,,73.31477976,54.59677873,73.76332014,,
Ecuador,ECU,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.384939196,3.492363564,3.077227527,0.604113111,3.505747126,2.449799197,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.72794888,44.17045734,111.4547931,81.54417177,44.15851901,32.54382271,28.88276615,20.66393367,37.72774392,26.74325041,39.20816681,30.70503951,34.46595759,25.2595,38.88904742,,
Euro area,EMU,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,16.61761213,19.70640443,21.92877208,15.40348721,16.28551181,18.82495587,19.7861592,27.67940027,23.99777841,33.17073627,44.43008673,106.150147,63.79753515,52.12424142,78.65289423,58.38311731,61.61547528,59.74578889,65.63097304,58.12339356,34.78069552,74.54821239,145.6399177,84.44840477,122.6816563,118.8983152,106.7981447,86.46486842,88.8495287,89.30678703,95.54653041,127.8077984,221.0361146,92.46325223,89.174334,104.1133189,74.60548296,62.45151769,87.91354604,78.41755424,,,,60.31221679,71.40736744,,
Eritrea,ERI,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,5.442789118,8.175,,11.97267021,6.436301194,5.359319376,9.211417032,10.80672341,10.95256467,17.27383132,19.12464754,32.31094022,57.47866163,28.90278291,32.24067596,40.59042084,32.60369276,32.76401366,38.24936181,44.70612283,34.59694949,42.96525945,65.47903143,93.52807362,238.0720012,314.0604569,318.3257466,98.26426234,85.13948155,91.52420446,102.242701,113.2728573,126.5892202,182.1179891,89.08827996,117.2961881,109.370117,86.86496562,81.94477824,99.87993517,124.2893817,97.83855716,82.61950554,86.18194243,62.7359,64.46118736,,
Estonia,EST,"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
